mind,physics,action,1,2,3,4,5,6,7,8,9,10
"('wolf', 'sheep')",smallMass,"((-7, 7), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, 7), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, 7), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, 7), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, 7), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, 7), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, 7), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, 7), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-10, 0), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-10, 0), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-10, 0), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-10, 0), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-10, 0), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-10, 0), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-10, 0), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-10, 0), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, -7), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, -7), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, -7), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, -7), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, -7), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, -7), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, -7), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((-7, -7), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((0, -10), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((0, -10), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((0, -10), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((0, -10), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((0, -10), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((0, -10), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((0, -10), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((0, -10), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((7, -7), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((7, -7), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((7, -7), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((7, -7), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((7, -7), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((7, -7), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((7, -7), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",smallMass,"((7, -7), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((10, 0), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((10, 0), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((10, 0), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((10, 0), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((10, 0), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((10, 0), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((10, 0), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((10, 0), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((7, 7), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((7, 7), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((7, 7), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((7, 7), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((7, 7), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((7, 7), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((7, 7), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((7, 7), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, 10), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, 10), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, 10), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, 10), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, 10), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, 10), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, 10), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, 10), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, 7), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, 7), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, 7), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, 7), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, 7), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, 7), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, 7), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, 7), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-10, 0), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-10, 0), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-10, 0), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-10, 0), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-10, 0), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-10, 0), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-10, 0), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-10, 0), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, -7), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, -7), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, -7), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, -7), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, -7), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, -7), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, -7), (0, -10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((-7, -7), (7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, -10), (10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, -10), (7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, -10), (0, 10))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, -10), (-7, 7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, -10), (-10, 0))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
"('wolf', 'sheep')",largeMass,"((0, -10), (-7, -7))",0.0026041666666666665,2.5190479959294036e-14,3.7539332203501186e-34,2.5467195510785624e-53,3.274486098476211e-70,5.0079399638184165e-84,0.0,0.0,0.0,0.0
